timestamp, rate
2018-07-02 17:14:18.360106, 236.06557377049182
2018-07-02 17:14:25.118521, 206.55737704918033
2018-07-02 17:14:31.816210, 157.37704918032787
2018-07-02 17:14:38.547439, 157.37704918032787
2018-07-02 17:14:45.244841, 275.4098360655738
2018-07-02 17:14:52.022781, 177.04918032786887
2018-07-02 17:14:58.735619, 226.22950819672133
2018-07-02 17:15:05.526723, 147.54098360655738
2018-07-02 17:15:12.396194, 177.04918032786887
2018-07-02 17:15:19.157588, 127.86885245901641
2018-07-02 17:15:25.885017, 177.04918032786887
2018-07-02 17:15:32.583221, 147.54098360655738
2018-07-02 17:15:39.313025, 304.91803278688525
2018-07-02 17:15:46.059568, 216.39344262295083
2018-07-02 17:15:52.816148, 265.57377049180326
2018-07-02 17:15:59.545631, 196.72131147540983
2018-07-02 17:16:07.248097, 196.72131147540983
2018-07-02 17:16:13.992224, 157.37704918032787
2018-07-02 17:16:20.823662, 216.39344262295083
2018-07-02 17:16:27.605578, 236.06557377049182
2018-07-02 17:16:34.397859, 186.88524590163937
2018-07-02 17:16:41.245281, 157.37704918032787
2018-07-02 17:16:47.923249, 255.73770491803282
2018-07-02 17:16:54.758025, 216.39344262295083
2018-07-02 17:17:01.633915, 236.06557377049182
2018-07-02 17:17:08.344900, 157.37704918032787
2018-07-02 17:17:15.126088, 206.55737704918033
2018-07-02 17:17:21.965555, 186.88524590163937
2018-07-02 17:17:28.691939, 265.57377049180326
2018-07-02 17:17:35.363921, 118.03278688524591
2018-07-02 17:17:42.468765, 186.88524590163937
2018-07-02 17:17:49.540597, 255.73770491803282
2018-07-02 17:17:56.422486, 354.09836065573774
2018-07-02 17:18:03.294161, 295.08196721311475
2018-07-02 17:18:10.006394, 177.04918032786887
2018-07-02 17:18:16.826861, 245.90163934426232
2018-07-02 17:18:23.696547, 314.75409836065575
2018-07-02 17:18:30.439786, 186.88524590163937
2018-07-02 17:18:37.275972, 206.55737704918033
2018-07-02 17:18:44.117248, 216.39344262295083
2018-07-02 17:18:50.891135, 167.21311475409837
2018-07-02 17:18:57.911211, 226.22950819672133
2018-07-02 17:19:04.916751, 255.73770491803282
2018-07-02 17:19:11.805072, 177.04918032786887
2018-07-02 17:19:18.849207, 236.06557377049182
2018-07-02 17:19:25.908172, 216.39344262295083
2018-07-02 17:19:32.749564, 265.57377049180326
2018-07-02 17:19:39.570486, 177.04918032786887
2018-07-02 17:19:46.487963, 255.73770491803282
2018-07-02 17:19:53.208889, 186.88524590163937
2018-07-02 17:19:59.913121, 314.75409836065575
2018-07-02 17:20:07.089571, 196.72131147540983
2018-07-02 17:20:13.813858, 295.08196721311475
2018-07-02 17:20:20.836991, 245.90163934426232
2018-07-02 17:20:27.649614, 226.22950819672133
2018-07-02 17:20:34.729706, 186.88524590163937
2018-07-02 17:20:41.718183, 196.72131147540983
2018-07-02 17:20:48.554650, 206.55737704918033
2018-07-02 17:20:55.313363, 226.22950819672133
2018-07-02 17:21:02.019248, 226.22950819672133
2018-07-02 17:21:08.932197, 206.55737704918033
2018-07-02 17:21:15.646339, 147.54098360655738
2018-07-02 17:21:22.447831, 295.08196721311475
2018-07-02 17:21:29.263670, 206.55737704918033
2018-07-02 17:21:36.064778, 255.73770491803282
2018-07-02 17:21:42.886626, 206.55737704918033
2018-07-02 17:21:49.588405, 295.08196721311475
2018-07-02 17:21:56.385884, 177.04918032786887
2018-07-02 17:22:03.122199, 255.73770491803282
2018-07-02 17:22:09.888470, 295.08196721311475
2018-07-02 17:22:16.587664, 206.55737704918033
2018-07-02 17:22:23.574124, 236.06557377049182
2018-07-02 17:22:30.388043, 285.2459016393443
2018-07-02 17:22:37.270248, 334.42622950819674
2018-07-02 17:22:44.315079, 275.4098360655738
2018-07-02 17:22:51.076416, 255.73770491803282
2018-07-02 17:22:57.926895, 186.88524590163937
2018-07-02 17:23:05.003804, 196.72131147540983
2018-07-02 17:23:11.759095, 186.88524590163937
2018-07-02 17:23:18.574501, 255.73770491803282
2018-07-02 17:23:25.457402, 295.08196721311475
2018-07-02 17:23:32.263144, 147.54098360655738
2018-07-02 17:23:38.963892, 177.04918032786887
2018-07-02 17:23:45.851499, 265.57377049180326
2018-07-02 17:23:52.630869, 236.06557377049182
2018-07-02 17:23:59.452255, 255.73770491803282
2018-07-02 17:24:06.854816, 236.06557377049182
2018-07-02 17:24:13.676226, 265.57377049180326
2018-07-02 17:24:20.453562, 226.22950819672133
2018-07-02 17:24:27.150114, 216.39344262295083
2018-07-02 17:24:33.962789, 186.88524590163937
2018-07-02 17:24:40.653342, 157.37704918032787
2018-07-02 17:24:47.691465, 196.72131147540983
2018-07-02 17:24:54.544937, 285.2459016393443
2018-07-02 17:25:01.295370, 216.39344262295083
2018-07-02 17:25:08.061989, 265.57377049180326
2018-07-02 17:25:14.769960, 226.22950819672133
2018-07-02 17:25:21.542594, 255.73770491803282
2018-07-02 17:25:28.437695, 265.57377049180326
2018-07-02 17:25:35.195093, 186.88524590163937
2018-07-02 17:25:42.113274, 226.22950819672133
2018-07-02 17:25:48.861867, 216.39344262295083
2018-07-02 17:25:55.709785, 295.08196721311475
2018-07-02 17:26:02.459342, 157.37704918032787
2018-07-02 17:26:09.297196, 275.4098360655738
2018-07-02 17:26:16.370406, 265.57377049180326
2018-07-02 17:26:23.146923, 265.57377049180326
2018-07-02 17:26:29.885187, 236.06557377049182
2018-07-02 17:26:36.617031, 275.4098360655738
2018-07-02 17:26:43.416382, 226.22950819672133
2018-07-02 17:26:50.213785, 186.88524590163937
